name,username,progressive caucus,new democratic coalition,problem solvers caucus,republican governance group,republican study committee,freedom caucus
Suzan DelBene,RepDelBene,,True,,,,
Suzanne Bonamici,RepBonamici,True,,,,,
Sylvia Garcia,RepSylviaGarcia,True,,,,,
Tammy Baldwin,SenatorBaldwin,,,,,,
Tammy Duckworth,SenDuckworth,,,,,,
Ted Budd,RepTedBudd,,,,,True,True
Ted Cruz,SenTedCruz,,,,,,
Ted Deutch,RepTedDeutch,,,,,,
Ted Lieu,RepTedLieu,True,,,,,
Teresa Leger Fernandez,RepTeresaLF,True,,,,,
Terri Sewell,RepTerriSewell,,True,,,,
Thom Tillis,SenThomTillis,,,,,,
Thomas Carper,SenatorCarper,,,,,,
Thomas Massie,RepThomasMassie,,,,,,
Thomas Suozzi,RepTomSuozzi,,True,True,,,
Thomas Tiffany,RepTiffany,,,,,True,True
Tim Burchett,RepTimBurchett,,,,,True,
Tim Kaine,timkaine,,,,,,
Tim Ryan,RepTimRyan,,,,,,
Tim Scott,SenatorTimScott,,,,,,
Tim Walberg,RepWalberg,,,,,True,
Tina Smith,SenTinaSmith,,,,,,
Todd Young,SenToddYoung,,,,,,
Tom Cole,TomColeOK04,,,,,True,
Tom Cotton,SenTomCotton,,,,,,
Tom Emmer,RepTomEmmer,,,,,True,
Tom Malinowski,RepMalinowski,,True,True,,,
Tom McClintock,RepMcClintock,,,,,True,
Tom O'Halleran,RepOHalleran,,True,True,,,
Tom Reed,RepTomReed,,,,,True,
Tom Rice,RepTomRice,,,True,True,True,
Tommy Tuberville,SenTuberville,,,,,,
Tony Cardenas,RepCardenas,,True,,,,
Tony Gonzales,RepTonyGonzales,,,True,,True,
Tracey Mann,RepMann,,,,,True,
Trent Kelly,RepTrentKelly,,,,,True,
Trey Hollingsworth,RepTrey,,,,,,
Troy Balderson,RepBalderson,,,,True,True,
Troy Nehls,RepTroyNehls,,,,,True,
Val Demings,RepValDemings,,True,,,,
Van Taylor,RepVanTaylor,,,True,,True,
Vern Buchanan,VernBuchanan,,,,,True,
Veronica Escobar,RepEscobar,True,True,,,,
Vicente Gonzalez,RepGonzalez,,,True,,,
Vicky Hartzler,RepHartzler,,,,,True,
Victoria Spartz,RepSpartz,,,,,True,
Virginia Foxx,virginiafoxx,,,,,True,
Warren Davidson,WarrenDavidson,,,,,True,True
William Timmons,RepTimmons,,,,,True,
Young Kim,RepYoungKim,,,True,True,,
Yvette Clarke,RepYvetteClarke,True,,,,,
Yvette Herrell,RepHerrell,,,,,True,True
Zoe Lofgren,RepZoeLofgren,True,,,,,
